date,description,amount
2025-09-30,Parking Fee,-207.04
2025-08-07,CVS Pharmacy,-99.76
2026-05-03,Spotify Premium,-174.07
2025-12-18,Hotel Stay,-135.92
2025-11-04,CVS Pharmacy,-483.73
2025-10-20,Restaurant Dinner,-256.81
2026-05-31,Walmart Supercenter,-431.49
2026-02-22,Shell Gas Station,-117.51
2026-02-25,Shell Gas Station,-154.24
2026-03-21,Software Subscription,-282.67
2026-01-06,Gas Station,-140.28
2026-03-22,Starbucks Coffee,-53.75
2025-07-10,Starbucks Coffee,-465.34
2025-11-03,Gym Membership,-153.51
2025-12-27,Payroll Direct Deposit,5003.34
2026-05-26,CVS Pharmacy,-71.86
2025-08-31,Parking Fee,-33.94
2025-09-26,Amazon Purchase,-191.71
2025-10-09,Electric Bill,-399.78
2025-07-25,Chipotle Mexican Grill,-366.1
2026-02-18,Grocery Store,-479.22
2026-02-05,Whole Foods Market,-456.97
2025-10-12,Netflix Subscription,-388.52
2025-11-07,Spotify Premium,-42.14
2026-04-16,Chipotle Mexican Grill,-408.04
2025-10-20,Internet Service,-234.74
2025-12-10,Rent Payment,-1673.58
2026-03-21,Flight Booking,-111.43
2025-09-10,Chipotle Mexican Grill,-422.99
2026-01-02,Electric Bill,-200.05
2026-01-02,Dental Cleaning,-344.34
2026-03-27,Spotify Premium,-9.23
2026-01-30,Chipotle Mexican Grill,-150.04
2026-05-25,Apple iTunes,-496.44
2025-08-08,Home Depot,-305.42
2025-09-18,Grocery Store,-142.1
2025-12-08,Payroll Direct Deposit,5859.65
2025-08-23,Gym Membership,-434.12
2025-07-09,Internet Service,-411.43
2025-12-14,Home Depot,-107.69
2026-04-16,Flight Booking,-246.41
2025-07-30,Hotel Stay,-50.58
2026-04-15,Electric Bill,-15.85
2025-09-25,Rent Payment,-1532.21
2026-05-26,Amazon Purchase,-393.2
2025-11-13,Target Store,-110.54
2026-02-03,Uber Ride,-451.46
2026-04-27,Walmart Supercenter,-251.6
2026-04-23,Target Store,-13.98
2026-03-11,Chipotle Mexican Grill,-283.47
2026-02-21,Payroll Direct Deposit,3669.92
2026-02-07,Electric Bill,-66.45
2026-05-28,Uber Ride,-54.86
2025-07-17,Apple iTunes,-88
2025-12-12,Apple iTunes,-452.61
2025-11-30,Payroll Direct Deposit,6856.02
2025-08-30,Insurance Premium,-227.27
2025-09-30,Chipotle Mexican Grill,-263.55
2026-01-20,Flight Booking,-201.28
2026-01-14,Hotel Stay,-434.78
2025-12-07,Payroll Direct Deposit,5623.93
2026-03-22,Doctor Visit Copay,-370.53
2026-01-18,Starbucks Coffee,-14.61
2026-05-02,Home Depot,-422.76
2025-11-19,Restaurant Dinner,-165.47
2025-09-06,Target Store,-487.49
2025-07-26,Dental Cleaning,-9.02
2025-10-10,Rent Payment,-1717.85
2025-08-28,Internet Service,-274
2026-05-11,Grocery Store,-439.32
2026-03-15,Hotel Stay,-368.88
2025-12-19,CVS Pharmacy,-71.09
2026-04-18,Starbucks Coffee,-167.85
2025-08-18,Rent Payment,-1617.44
2026-01-11,Shell Gas Station,-373.69
2025-07-21,Gym Membership,-257.11
